Numéro_de_l'objet,Domaine,Dénomination,Appellation,Titre,Auteur,Précisions_sur_l'auteur,Lieu_de_création,Période_de_création,Millésime,Période_de_l'original_copié,Epoque,Utilisation,Période_d'utilisation,Millésime_d'utilisation,Dimensions,Matériaux-techniques,Géographie_historique,Découverte,Sujet,Source_de_la_représentation,Onomastique,Statut_juridique,Date_d'acquisition,Date_de_dépôt,Ancien_dépôt,ID-notice,Lieu_de_conservation,Identifiant_Museofile,Date_d'import,Date_de_mise_à_jour,Label_Musée_de_France,Ecole,Dépôt,ville,geolocalisation_ville
1986.00.3827 ; 25 (curateur) ; 3827 (MTI),dessin;ethnologie,,,Nu au pareu,"TATIN Robert, TATIN D'AVESNIERES Robert (dit)","Laval ,1925 ; Tahiti , 1982","Mélanésie : Archipel de Vanuatu : Efate, Port-Vila",4e quart 20e siècle,1975,,,,,,"H. 82,5 cm, l. 62 cm (avec le cadre)",fusain;papier (gris),,,"figure (femme, debout, nudité : poitrine)",,,propriété du territoire ; Polynésie française ; legs (?) ; Tahiti ; musée de Tahiti et des Iles,1985/07/24,,,M1073000032,Tahiti;musée de Tahiti et des Iles,M1073,2004-05-27,,,France,,Tahiti,"48.3535,-0.55508"
1986.00.3840 ; 38 (curateur) ; 3840 (MTI),peinture,tableau,,Nu au pareu rouge,"TATIN Robert, TATIN D'AVESNIERES Robert (dit)","Laval ,1925 ; Tahiti , 1982","Mélanésie : Archipel de Vanuatu : Efate, Port-Vila",4e quart 20e siècle,1975,,,,,,"h.126 cm, l. 79,5 cm (avec le cadre)",peinture à l'huile;bois,,,"Port-Vila ; figure (femme, debout, nudité)",,,propriété du territoire ; Polynésie française ; legs (?) ; Tahiti ; musée de Tahiti et des Iles,1985/07/24,,,M1073000052,Tahiti;musée de Tahiti et des Iles,M1073,2004-05-27,,,France,,Tahiti,"48.3535,-0.55508"
2010.7.1,beaux-arts;peinture,tableau,,Autoportrait Marius Laithier (titre factice),LAITHIER Marius (peintre),"LAITHIER : Le Brey-Maison-du-bois (Doubs), 1893 ; Bouchavesnes (Somme), 1916 ; Marius Laithier entre en 1912 dans l'atelier parisien de Fernand Cormon et est inscrit à l'Ecole des Beaux-Arts. Il remporte le concours d'affiche en 1912 et expose au Salon en 1913 un projet de vitrail ; il peint quantité de portraits, natures mortes, et paysages qui témoignent du Haut-Doubs des années 1910. Il laisse de nombreux croquis de ses années de guerre. Mobilisé il meurt au front en 1916. Il fait l'objet d'une rétrospective au 1er Salon des Annonciades en 1924, puis au musée de Pontarlier en 2006.",,1er quart 20e siècle,1913 vers,,,,,,H. 46.3 cm ; l. 38.5 cm ; H. 58.5 cm ; l. 51 cm,"toile, peinture à l'huile",,,"autoportrait (Laithier Marius, peintre, homme, en buste)",,,propriété de la commune ; don ; Pontarlier ; musée municipal,2008/07/02,,,M0340001522,Pontarlier;musée municipal,M0340,2016-05-09,,,France,,Pontarlier,"46.905904,6.35366"
990.1.2,peinture;marine,tableau,portrait de bateau,"Trois-mâts, barque en mer","GRANDIN Eugène (dit), MARGUERITTE-GRANDIN Eugène","Caen, 1833 ; Le Havre, 1916#Réalisé à la manière de Grandin, mais ne comporte pas de signature apparente",,4e quart 19e siècle;1er quart 20e siècle,,,,,,,Hauteur en mm 625 ; Largeur en mm 925 ; Hauteur avec cadre en mm 782 ; Largeur avec cadre en mm 925,toile;peinture à l'huile,,,"reprsentation d'objet (grand voilier, pêche, barque)",,,propriété de la commune ; legs ; Fécamp ; Musée des Terre-Neuvas,1990,,,07160001561,Fécamp;musée des Terre-Neuvas,M0715,2003-02-11,2003-02-13,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Fécamp,"49.756614,0.378369"
C.2008.8.1,estampe,,,L'Eté,"BRUEGEL Pieter I (d'après), BRUEGEL Pieter le Vieux (dit, peintre) ; HEYDEN Pieter van der (graveur) ; COCK Hieronymus (éditeur)","BRUEGHEL le Vieux : Brueghel, 1525 ; Bruxelles, 1569 ;#HEYDEN VAN DER : Anvers (Belgique), 1530 ; ?, 1575#COCK Hieronymus ou Jérôme: Anvers (Belgique), 1510 ; ?, 1570",,3e quart 16e siècle,1563,,,,,,Hauteur en cm 22.2 (sans passe-partout) ; Largeur en cm 28.4 (sans passe-partout) ; Hauteur en cm 56 (avec passe-partout) ; Largeur en cm 77 (avec passe-partout),"papier vergé, technique estampe",,,"scène (allégorie, été, champ, moisson, blé, paysan, homme, moissonneur, faux, personnage, cruche, boisson, repas, panier : vannerie, feuillu, soleil, village, maison, clocher, oiseau, meule, été, coquelicot)",,,propriété du département ; Nord ; achat ; musée départemental de Flandre,2008,,,06170007749,Cassel;musée départemental de Flandre,M0617,2014-10-07,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Flandre ; Pays-Bas,,Cassel,"50.799213,2.486088"
1991.1.1.286,estampe;artisanat - industrie,image,,"Strasbourg. (titre inscrit, français, allemand)","WENTZEL Frédéric Charles (lithographe, éditeur)",,"France, Bas-Rhin, Wissembourg (lieu d'exécution) ; (lieu de création)",2e moitié 19e siècle,1869 entre ; 1880 et,,,décor d'appartement,,,"H. 29 cm ; l. 43,5 cm (feuille) ; H. 19,7 cm ; l. 28,7 cm (image)","papier (lithographie, colorié au pochoir, impression monochrome coloriée, polychrome, crayon, vernis)",,Bas-Rhin ; Wissembourg,paysage (Strasbourg),,,propriété de la commune ; achat avec participation du FRAM ; Wissembourg ; musée Westercamp,1991,,,M0022011399,Wissembourg;musée Westercamp,M0022,2016-11-16,,,France,,Wissembourg,"49.03679,7.945795"
006.04.421,précolombien;textile;Amérique du sud;ethnologie,,,Serpent,Nasca (population),,,,100 entre ; 650 et,,,,,,"H: 1,5 L: 48 P: 4,5","coton, laine (lama);tissage, teinture, crochet, tricoté",,"Amérique du Sud ; Pérou (côte sud, lieu de découverte)",représentation animalière (serpent),,,propriété de la commune ; don ; Auch ; musée des Jacobins,,,,M0569000065,Auch;musée des Jacobins,M0569,2018-05-29,2018-06-01,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Auch,"43.644497,0.588419"
2012.01.22,dessin,,,"Satory, 9 Juin 1871 (titre inscrit)",anonyme (dessinateur),,,3e quart 19e siècle,1871,,,,,,H. en cm 20.4 ; l. en cm 33.6,"papier, encre brune, lavis",,,"scène (foule, bourgeois, soldat, assis, feu, chaudron, prison, mur, homme, brancard, canon)",,,propriété de la commune ; achat avec participation du fram ; Saint-Denis ; musée d'art et d'histoire,2011,,,04220050767,Saint Denis;musée d'art et d'histoire,M0422,2018-04-24,2018-05-22,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Saint Denis,"-20.943522,55.448016"
MC D 2002.2.1 ; n°47 (Catalogue Pannier),estampe,,,"Les deux voies ; Tableau ou instruction des simples, ... (représentant deux religions différentes, une fausse, qui est la religion papistique, où est le chemin large qui mené a perdition ; il se faut détourner ; et l'autre vraie, qui est la religion chrétienne, où est le chemin étroit qui mène à la Ierusalem céleste, auquel il faut entrer, et persévérer jusqu'à la fin.)",ANGLOIS Nic,,,4e quart 16e siècle;3e quart 18e siècle,1584 (?) ; 1755 (?),,,,,,Hauteur hors cadre en cm 66 ; Largeur hors cadre en cm 187,"papier, gravure, carton",,,"scène (clergé, évêque, pape, moine)",,,propriété privée personne morale ; société de l'Histoire du Protestantisme français,2002 entrée matérielle,,,08080006695,Noyon;musée Calvin,M0808,2018-10-10,2018-10-10,Musée de France au sens de la loi n°2002-5 du 4 janvier 2002,,dépôt ; musée Calvin,Noyon,"49.580834,2.998618"
D.987.1.53,peinture,tableau,,Etude pour le martyre de Saint Pierre,SUBLEYRAS Pierre,"SUBLEYRAS : Saint-Gilles-du-Gard, 1699 ; Rome, 1749 ; nationalité : Française",Rome (lieu de création),2e quart 18e siècle,1740,,,,,,Hauteur en cm 64 ; Largeur en cm 50,"peinture à l'huile, toile",,,"figure (homme, debout, pelle)",,,propriété privée personne morale ; don ; société des amis des arts de Charlieu,1986 entrée matérielle,1986,,10200004217,Roanne;musée des beaux-arts et d'archéologie Joseph Déchelette,M1020,2010-11-16,2011-12-22,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,dépôt ; Roanne ; musée des beaux-arts et d'archéologie Joseph Déchelette,Roanne,"46.035727,4.068007"
1991.1.1.141,estampe;artisanat - industrie;vie sociale - culturelle;mémoire de l'esclavage,image,,"L'AFRIQUE. (titre inscrit, français, allemand, anglais, espagnol)","WENTZEL Frédéric Charles (lithographe, éditeur)",,"France, Bas-Rhin, Wissembourg (lieu d'exécution) (lieu de création)",2e moitié 19e siècle,1869 entre ; 1880 et,,,décor d'appartement,,,"H. 44,5 cm ; l. 30 cm (feuille)","papier (lithographie, colorié au pochoir, impression monochrome coloriée, vernis)",,"France, Bas-Rhin, Wissembourg (lieu de découverte) ; (SCHELLMANNS René, découvreur)","représentation humaine (jeune femme, jeune homme, Noir, soldat, zouave, enfant) ; fond de paysage (Afrique, palmier) ; cartouche orn",,,propriété de la commune ; achat avec participation du FRAM ; Wissembourg ; musée Westercamp,1991,,,M0022011502,Wissembourg;musée Westercamp,M0022,2017-04-12,2017-04-13,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,,,Wissembourg,"49.03679,7.945795"
1986.00.3803 ; 1 (curateur) ; 3803 (MTI),dessin;ethnologie,,,Composition de bouteilles,"TATIN Robert, TATIN D'AVESNIERES Robert (dit)","Laval ,1925 ; Tahiti , 1982",Nouvelle-Calédonie : Nouméa,3e quart 20e siècle,1961,,,,,,"H. 65,5 cm, l. 81,5 cm (avec cadre)",gouache;papier,,,nature morte (bouteille),,,propriété du territoire ; Polynésie française ; legs (?) ; Tahiti ; musée de Tahiti et des Iles,1985/07/24,,,M1073000001,Tahiti;musée de Tahiti et des Iles,M1073,2004-05-27,,,,,Tahiti,"48.3535,-0.55508"
2001-2-7,sculpture,,,Buste de Valroger,CRAUK Gustave Adolphe Désiré,"Valenciennes, 1827 juillet 16 ; Paris, 1905 novembre 17 ; entré à l'Ecole des Beaux-Arts en 1845, il y est élève de Pradier. En 1851, il remporte le Prix de Rome avec son envoi : les Grecs et les Troyens se disputant le corps de Patrocle. Il obtient plusieurs médailles de 1857 à 1863. Le 9 août 1864, il est décoré de la croix de chevalier de la Légion d'honneur, en 1878, il est promu officier et en 1903, commandeur",,2e moitié 19e siècle,,,,,,,H. 36 ; L. 26 ; Pr. 15.5,"fonte, bronze",,,"portrait (Valroger Mr de, en buste, ordre de la Légion d'honneur, juge)",,,propriété de la commune ; don ; Pont-Audemer ; musée Alfred Canel,2001,,,07070000840,Pont-Audemer;musée Alfred Canel,M0707,2003-05-09,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Pont-Audemer,"49.353932,0.513116"
D 895.17.1,sculpture,,,Vénus de Vienne ; Aphrodite accroupie,anonyme ; Doidalsas de Bithynie (d'après),,,19e siècle,,3e siècle av. JC,,,,,H. 120,"moulage, plâtre",,,"scène mythologique (Aphrodite, nu, toilette)",,,propriété de la commune ; dépôt ; Pont-Audemer ; musée Alfred Canel,,,,07070000867,Pont-Audemer;musée Alfred Canel,M0707,2003-05-09,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Italie (d'après),,Pont-Audemer,"49.353932,0.513116"
RF 3176 ; AM 532,sculpture,groupe relié,,BELIER RETIF,BOURDELLE Emile Antoine ; RUDIER Eugène (exécutant),"Bourdelle : Montauban, 1861 ; Le Vésinet, 1929",,1er quart 20e siècle,1909,,,,,,53.2 H ; 45 L ; 33 P,fonte;bronze,,,"scène (bélier, femme)",,,propriété de l'Etat ; achat ; musées nationaux,1933,1977 ; 1975,MUSEE DU LUXEMBOURG,000SC010076,Calais;musée des beaux-arts et de la dentelle,M0644,,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,affectation ; musée du Louvre département des Sculptures ; en dépôt ; Calais ; musée des Beaux-Arts et de la dentelle,Calais,"50.946642,1.855514"
"1.114 ; 61 (1988, ancien numéro)",peinture,tableau,,"La communion de saint Jérôme ; Communion de saint Jérôme (1988, ancien titre)",CARRACCI Agostino (d'après),"CARRACCI : Bologne, 1557 ; Parme, 1602",,17e siècle,,,,,,,H. 89 cm ; L. 52 cm,"peinture à l'huile, toile",,,"scène (saint Jérôme, eucharistie, crâne, lion)",,,propriété de la commune ; achat ; Paray-le-Monial ; musée du Hiéron,1883,,,M0176000045,Paray-le-Monial;musée du Hiéron,M0176,2014-08-08,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Italie (d'après),,Paray-le-Monial,"46.450396,4.119117"
MV 2287 ; INV 2469 ; LP 3314,peinture;histoire,tableau,,BATAILLE DE LOANO.23 NOVEMBRE 1795,BELLANGE Hippolyte,"Paris, 1800 ; Paris, 1866",,2e quart 19e siècle,1838,,,,,,270 H ; 260 L,peinture à l'huile;toile,,,"scène historique (bataille : Italie, assaut : infanterie, tranchée, ville, port : bateau, montagne)",,,propriété de l'Etat ; achat après commande ; musée national des châteaux de Versailles et de Trianon,1838,1929,,000PE005460,Nice;musée Masséna,M0881,,1993-12-16,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,en dépôt ; Nice ; Musée Masséna,Nice,"43.701875,7.267464"
MG 1139,peinture,ensemble,,Sainte Geneviève,HEBERT Ernest,"Grenoble, 1817 ; La Tronche, 1908",,4e quart 19e siècle,,,,,,,,peinture à l'huile (toile),,,,,,don ; Grenoble ; musée de Grenoble,1897/11/22,1980,,09940005926,La Tronche;musée Hébert,M1003,2007-09-06,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,dépôt ; La Tronche ; musée Hébert,La Tronche,"45.205725,5.740328"
RF 1985-59,peinture,tableau,,PORTRAIT DE JEUNE GARCON AU CHIEN,VAN LOO Jacob,"Sluys, 1614 ; Paris, 1670",,3e quart 17e siècle,1658,,,,,,"90.5 H, 75 L",peinture à l'huile;toile,,,"portrait d'inconnu (garçon, Hollandais, ?, à mi-corps, de face, chien, draperie) ; fond de paysage (tronc)",,,propriété de l'Etat ; legs ; musée du Louvre département des Peintures,1985,1986 déposé,,00000059290,Gray;musée baron Martin,M0357,,1995-01-09,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Hollande ; France,dépôt ; Gray ; Musée Baron Martin,Gray,"47.443532,5.59061"
L 85,peinture,tableau,,L'annonce aux bergers,COLONIA Adam,"Rotterdam, 1634 ; Londres, 1685",,17e siècle,,,,,,,"H. 46,5 cm ; l. 36,2 cm",bois (peinture à l'huile),,,"scène biblique (Annonce aux bergers, ange, putti, berger, cabane, vache, chien)",,,propriété de la commune ; don ; Lons-le-Saunier ; musée des beaux-arts,1861,,,M0345000148,Lons-le-Saunier;musée des beaux-arts,M0345,2011-06-30,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,Hollande,,Lons-le-Saunier,"46.6742,5.552615"
L 188,peinture,tableau,,Le chasseur allemand,COURBET Gustave,"Ornans, 1819 ; La Tour de Peilz (Suisse), 1877",,3e quart 19e siècle,1859,,,,,,"H. 119,5 cm ; l. 177 cm","toile, peinture à l'huile",,,"scène (chasse, homme, chapeau, fusil, chien, cerf, agonie) ; fond de paysage (forêt, arbre, eau, rocher)",,,propriété de la commune ; don ; Lons-le-Saunier ; musée des beaux-arts,1886,,,M0345000152,Lons-le-Saunier;musée des beaux-arts,M0345,2011-06-30,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Lons-le-Saunier,"46.6742,5.552615"
L 154,peinture,tableau,,Orage sur mer ou La tempête,VERNET Horace,"Paris, 1789 ; Paris, 1863",,1er quart 19e siècle,1820 vers,,,,,,"H. 129,5 cm ; l. 195 cm","toile, peinture à l'huile",,,"scène (naufrage, femme, enfant) ; fond de paysage (falaise, plage, tempête, rocher)",,,propriété de la commune ; don ; Lons-le-Saunier ; musée des beaux-arts,1874,,,M0345000320,Lons-le-Saunier;musée des beaux-arts,M0345,2011-06-30,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Lons-le-Saunier,"46.6742,5.552615"
CHIEVRES 2578,sculpture,buste,,BUSTE DU COMTE DE CHAMBORD (1820-1883),anonyme,,,19e siècle,,,,,,,63 H ; 37.7 L ; 22.6 P,plâtre,,,"portrait (Chambord Henri comte de, homme, nu, en buste, barbe)",,,propriété de la commune ; Propriété privée personne morale ; Poitiers ; musées de la ville et de la société des antiquaires de l'Ouest ; don ; société des antiquaires de l'Ouest,,,,000SC023419,Poitiers;musée Rupert de Chièvres,M0854,,1989-09-22,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Poitiers,"46.579729,0.334224"
"RF 32270, recto",dessin,,,Jardin de la maison de Delacroix à Champrosay,DELACROIX Eugène,né en 1798 ; mort en 1863,,3e quart 19e siècle,1853,,,,,,"H. en m 0,287 ; L. en m 0,234",papier (gris);pastel,,,,,,propriété de l'Etat ; achat ; musée du Louvre département des Arts graphiques,1953,,,50350040528,Paris;musée national Eugène Delacroix,M5004,2005-09-13,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,française,dépôt ; Paris ; musée Eugène Delacroix,Paris,"48.8589,2.3469"
MV 5261 ; INV 4421 ; MR 3552,peinture,tableau,,"LE MARQUIS DE LESCURE, GENERAL VENDEEN (1766-1793)",LEFEVRE Robert,"Bayeux, 1756 ; Paris, 1830",,1er quart 19e siècle,1818,,,,,,215 H ; 150 L,peinture à l'huile;toile,,,"portrait (Salgues Louis Marie de, Lescure marquis de, général, homme, en pied, de trois-quarts) ; paysage (Vendée d) ; croix ; drapeau ; soldat",,,propriété de l'Etat ; musée national des Châteaux de Versailles et de Trianon ; achat après commande ; musée du Louvre département des Peintures,1817,1914,,000PE012316,Cholet;musée d'art et d'histoire,M0754,,1994-01-03,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,Attribution ; Versailles ; Musée du Château ; en dépôt ; Cholet ; Musée,Cholet,"47.058831,-0.880158"
1986.00.3824 ; 22 (curateur) ; 3824 (MTI),dessin,,,Le lavoir de Faatautia,"TATIN Robert, TATIN D'AVESNIERES Robert (dit)","Laval ,1925 ; Tahiti , 1982",Tahiti : Faatautia,2e quart 20e siècle,1982,,,,,,"l. 82,8 cm, H. 67,8 cm (avec le cadre)",gouache;papier,,,"paysage (maison, lavoir, plante, arbre)",,,propriété du territoire ; Polynésie française ; legs (?) ; Tahiti ; musée de Tahiti et des Iles,1985/07/24,,,M1073000036,Tahiti;musée de Tahiti et des Iles,M1073,2004-05-27,,,France,,Tahiti,"48.3535,-0.55508"
FC 85.1.20,sculpture,groupe relié,,La Tendresse,BERNARD Joseph Antoine,"BERNARD : Vienne (Isère), 1866 ; Boulogne-sur-Seine, 1931",,1er quart 20e siècle,1924,,,,,,"H 63 ; L 38 ; P 37,5 cm",bronze,,,"figure (couple, femme, homme)",,,propriété privée personne morale ; dation ; Saint-Rémy-lès-Chevreuse ; Fondation de Coubertin,1985,,,03990000012,Saint-Rémy-lès-Chevreuse;Fondation de Coubertin,M0399,2009-04-28,2018-06-12,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Saint-Rémy-lès-Chevreuse,"48.705129,2.071826"
943.2.2,dessin,élément d'ensemble,,Décors architecturaux,GEISAIN Léon,,,3e quart 19e siècle,1856,,,,,,H. 42 ; L. 56,"aquarelle, carton",,,"décor d'architecture (bouquet, animal)",,,propriété de la commune ; don ; Pont-Audemer ; musée Alfred Canel,1943,,,07070000078,Pont-Audemer;musée Alfred Canel,M0707,2003-04-22,,Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002,France,,Pont-Audemer,"49.353932,0.513116"
